ISSUE,GUIDANCE
크레인 오작동,즉시 모든 크레인 전원 차단 및 주변 대피 명령 발령. 전문 엔지니어가 현장에 투입될 때까지 접근 금지.
낙하물 발생,현장 작업자 즉시 대피 유도. 잔해물이 공정 자재에 미치는 영향을 평가하고 전면 안전 진단 완료 후 작업 재개할 것.
유해가스 감지,탱크 및 밀폐 공간 내 송풍기 가동 최대화. 모든 작업자 즉시 탈출 명령 및 가스 농도가 0.5% 미만으로 도달할 때까지 진입 차단.
분진 발생,현장 작업자 특수 방진 마스크 착용 의무화. 수분 살포 시스템 가동하여 비산 먼지 억제 및 주변 공기 정화 가동.
화기 작업 주의,주변 가연성 자재 격리 확인. 2인 1조 감시 체계 가동 및 소화기 현장 비치 확인 후 작업 승인.
정상,통상 공정 모니터링 모드 유지. 특이 사항 없음. 지시사항 대기 중.
점검,정기 유지보수 구역. 승인된 인원 외 출입 통제 및 점검 보고서 실시간 전송 대기.
공정 지연,인력 재배치 및 RPA 봇 우선 순위 조정. 생산 관리 본부와 공정 만회 대책 회의 소집.
기상 악화,실외 타워크레인 가동 중단 및 강재 고정 확인. 태풍 영향권 진입 시 전 구역 대피 프로토콜 가동.
단전,비상 발전기 가동 및 핵심 서버 전원 보호. 전산 복구 전까지 수동 모니터링 체계로 전환.
테스트 위험 상황,즉시 대피 및 상층부 보고 요망 (자동 검증)
가상 위험 테스트,[긴급] 전원 대용량 차단 및 대피로 확보
실전 검증 리스크,[최종] 전 구역 작업 중단 및 대피로 일제 점검
